operator_count,score,generation
3.0,0.9712500000000001,11
3.0,0.885,11
2.0,0.495,11
3.0,0.9637499999999999,11
2.0,0.72875,11
3.0,0.52875,11
1.0,0.77,11
2.0,0.9575000000000001,11
2.0,0.92125,11
2.0,0.9662499999999999,11
3.0,0.9612499999999999,11
2.0,0.9500000000000002,11
3.0,0.97,11
2.0,0.8825000000000001,11
3.0,0.9237499999999998,11
3.0,0.6487499999999999,11
2.0,0.8362499999999999,11
3.0,0.5275000000000001,11
2.0,0.5237499999999999,11
2.0,0.5050000000000001,11
3.0,0.8375,11
2.0,0.95,11
3.0,0.9662499999999999,11
3.0,0.9487500000000001,11
2.0,0.6,11
2.0,0.72875,11
5000.0,-inf,11
3.0,0.7737499999999999,11
2.0,0.9525,11
2.0,0.9637500000000001,11
1.0,0.7224999999999999,11
2.0,0.9425000000000001,11
3.0,0.58375,11
2.0,0.9475,11
2.0,0.6075,11
3.0,0.54375,11
3.0,0.635,11
2.0,0.9625,11
2.0,0.74,11
2.0,0.95625,11
1.0,0.7187499999999999,12
2.0,0.8275,12
2.0,0.5225000000000001,12
3.0,0.9887500000000001,12
1.0,0.74875,12
2.0,0.9487499999999999,12
2.0,0.7962499999999999,12
2.0,0.55375,12
2.0,0.7137499999999999,12
2.0,0.6325000000000001,12
3.0,0.52125,12
2.0,0.6487499999999999,12
2.0,0.75,12
3.0,0.54625,12
1.0,0.76,12
1.0,0.8025,12
1.0,0.7387499999999999,12
1.0,0.7549999999999999,12
1.0,0.7875,12
2.0,0.5399999999999999,12
5000.0,-inf,12
1.0,0.66625,12
2.0,0.9012500000000001,12
1.0,0.7862500000000001,12
2.0,0.9774999999999998,12
2.0,0.58125,12
2.0,0.9512499999999999,12
2.0,0.6625,12
3.0,0.9550000000000001,12
1.0,0.72875,12
1.0,0.66625,12
3.0,0.9650000000000001,12
3.0,0.89,12
2.0,0.67375,12
2.0,0.7799999999999999,12
2.0,0.77,12
2.0,0.7637499999999999,12
2.0,0.76625,12
2.0,0.49625,12
2.0,0.9512499999999999,12
2.0,0.725,13
3.0,0.56375,13
2.0,0.5387500000000001,13
3.0,0.9762500000000001,13
2.0,0.9387500000000001,13
3.0,0.54125,13
3.0,0.81875,13
3.0,0.9650000000000001,13
2.0,0.9037499999999999,13
2.0,0.9775,13
2.0,0.9412499999999999,13
2.0,0.7150000000000001,13
1.0,0.75125,13
2.0,0.9400000000000001,13
2.0,0.5387500000000001,13
1.0,0.63375,13
3.0,0.9175000000000001,13
2.0,0.9674999999999999,13
2.0,0.9324999999999999,13
1.0,0.63375,13
2.0,0.5599999999999999,13
2.0,0.6699999999999999,13
3.0,0.5587500000000001,13
2.0,0.5225,13
2.0,0.9512500000000002,13
3.0,0.8737499999999999,13
3.0,0.7575000000000001,13
3.0,0.58125,13
2.0,0.89875,13
1.0,0.6425000000000001,13
2.0,0.50125,13
3.0,0.97875,13
3.0,0.9287500000000002,13
2.0,0.925,13
2.0,0.5275,13
2.0,0.9575000000000001,13
1.0,0.6975,13
3.0,0.975,13
2.0,0.96,13
3.0,0.9324999999999999,13
3.0,0.6549999999999999,14
2.0,0.7137499999999999,14
2.0,0.9437500000000002,14
2.0,0.95,14
1.0,0.705,14
1.0,0.48375,14
1.0,0.7162499999999999,14
