operator_count,score,generation,,,
4,0.604306598,7,,,
1,0.48953252,7,,,
3,0.768517042,7,,,
3,0.519377736,7,,,
1,0.683847717,7,,,
2,0.564516886,7,,,
3,0.75132661,7,,,
4,0.770172764,7,,,
2,0.511503283,7,,,
1,0.522125547,7,,,
1,0.520811445,7,,,
3,0.758545966,7,,,
2,0.629565353,7,,,
1,0.579362883,7,,,
4,0.522508599,7,,,
2,0.521536116,7,,,
2,0.75898843,7,,,
2,0.815863039,7,,,
2,0.761831614,7,,,
1,0.761149937,7,,,
4,0.787743121,7,,,
2,0.768675735,7,,,
2,0.66490541,7,,,
2,0.76007661,7,,,
3,0.777396811,7,,,
3,0.756110069,7,,,
3,0.50396576,7,,,
2,0.498441213,7,,,
4,0.775020325,7,,,
2,0.753298937,7,,,
3,0.796680738,7,,,
3,0.668041745,7,,,
2,0.791010788,7,,,
2,0.753298937,7,,,
3,0.673030801,7,,,
2,0.790212633,8,,,
1,0.560157911,8,,,
1,0.729140869,8,,,
1,0.494590369,8,,,
2,0.821403221,8,,,
2,0.643330988,8,,,
1,0.52244137,8,,,
2,0.623621013,8,,,
1,0.588702314,8,,,
1,0.533441213,8,,,
2,0.777709506,8,,,
2,0.76996404,8,,,
1,0.714949969,8,,,
2,0.747605535,8,,,
4,0.770145403,8,,,
1,0.746456379,8,,,
2,0.767772045,8,,,
3,0.75498202,8,,,
4,0.764965604,8,,,
3,0.776273452,8,,,
1,0.484841307,8,,,
1,0.725168074,8,,,
2,0.781117886,8,,,
2,0.710137586,8,,,
4,0.77880394,8,,,
2,0.754197154,8,,,
2,0.532502345,8,,,
1,0.746456379,8,,,
2,0.793938399,8,,,
1,0.529666979,8,,,
3,0.739195591,8,,,
2,0.718945435,8,,,
3,0.805757505,8,,,
2,0.734110381,8,,,
2,0.761201532,8,,,
2,0.826900407,8,,,
1,0.728820356,8,,,
2,0.653581926,8,,,
3,0.500313477,8,,,
2,0.769050969,8,,,
2,0.607460131,9,,,
1,0.679939024,9,,,
4,0.742331144,9,,,
4,0.7797303,9,,,
2,0.758393527,9,,,
3,0.791212477,9,,,
2,0.754733427,9,,,
2,0.773892276,9,,,
1,0.522125547,9,,,
2,0.571260163,9,,,
2,0.791010788,9,,,
2,0.714320669,9,,,
2,0.753579581,9,,,
1,0.740196998,9,,,
3,0.808430269,9,,,
5,0.570356473,9,,,
1,0.577548468,9,,,
3,0.636333646,9,,,
2,0.719597405,9,,,
2,0.500997498,9,,,
1,0.544695904,9,,,
4,0.796366479,9,,,
2,0.789760788,9,,,
2,0.810893527,9,,,
3,0.777305347,9,,,
2,0.5,9,,,
2,0.749856942,9,,,
1,0.740196998,9,,,
3,0.510372889,9,,,
2,0.821249218,9,,,
2,0.748698405,9,,,
1,0.750264228,9,,,
3,0.779992964,9,,,
2,0.503901657,9,,,
2,0.784587242,9,,,
4,0.800943558,9,,,
2,0.551610381,9,,,
3,0.772361632,9,,,
1,0.628769543,9,,,
1,0.762210757,9,,,
1,0.545945904,10,,,
3,0.507216229,10,,,
2,0.699105691,10,,,
4,0.79245935,10,,,
3,0.662525797,10,,,
3,0.481395403,10,,,
2,0.844904628,10,,,
1,0.529909318,10,,,
4,0.690868512,10,,,
1,0.495840369,10,,,
2,0.737485147,10,,,
1,0.695324422,10,,,
2,0.775079737,10,,,
2,0.749951532,10,,,
2,0.593083959,10,,,
4,0.55279237,10,,,
2,0.600122733,10,,,
3,0.749991401,10,,,
3,0.790057067,10,,,
3,0.834944497,10,,,
3,0.815863039,10,,,
1,0.476217167,10,,,
4,0.709821764,10,,,
3,0.775297842,10,,,
3,0.772494528,10,,,
1,0.515780957,10,,,
2,0.777367886,10,,,
2,0.483895403,10,,,
1,0.580054722,10,,,
3,0.791149937,10,,,
2,0.763550657,10,,,
2,0.487965134,10,,,
3,0.797303784,10,,,
1,0.557353033,10,,,
1,0.519561445,10,,,
2,0.675253283,10,,,
3,0.857499218,10,,,
2,0.739765478,10,,,
2,0.593083959,10,,,
2,0.612103659,10,,,
1,0.592667292,11,,,
3,0.785057067,11,,,
3,0.527216229,11,,,
1,0.765209506,11,,,
2,0.61976626,11,,,
3,0.733166041,11,,,
2,0.515910725,11,,,
3,0.6351798,11,,,
3,0.782927611,11,,,
2,0.504129925,11,,,
2,0.86628596,11,,,
2,0.773864916,11,,,
2,0.734007974,11,,,
3,0.818363039,11,,,
2,0.756639306,11,,,
1,0.501313321,11,,,
3,0.468872733,11,,,
3,0.5,11,,,
1,0.628679644,11,,,
3,0.819613039,11,,,
2,0.740981864,11,,,
3,0.705440901,11,,,
1,0.638787523,11,,,
2,0.858628831,11,,,
1,0.481558787,11,,,
3,0.794760788,11,,,
2,0.722393684,11,,,
2,0.787260788,11,,,
3,0.814025172,11,,,
3,0.593549875,11,,,
1,0.640117261,11,,,
2,0.772491401,11,,,
1,0.541557223,11,,,
1,0.49150172,11,,,
2,0.757520325,11,,,
2,0.627458568,11,,,
2,0.785175891,11,,,
2,0.686445435,11,,,
1,0.758651501,11,,,
4,0.768613196,11,,,
2,0.790978737,12,,,
1,0.718663227,12,,,
2,0.523185585,12,,,
3,0.678559256,12,,,
3,0.820089118,12,,,
2,0.493771889,12,,,
