pipeline,cv_score,generation,holdout_score,holdout_roc_auc_score
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,13,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,13,0.7082691319979455,0.7874678993323061
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,13,0.7029789419619927,0.7977401129943503
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,14,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,14,0.7088854648176682,0.7848998459167951
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,14,0.7001540832049307,0.7994863893168979
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,15,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,15,0.7252182845403184,0.7848998459167951
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,15,0.7086286594761171,0.8026707755521315
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,16,0.7104776579352851,0.7993836671802774
